strategy,model_layer,subperiod,start,end,trading_days,total_return,cagr,annual_volatility,sharpe_excess_bil,sortino_excess_bil,max_drawdown,daily_var_95,daily_cvar_95,worst_1d,worst_5d,worst_20d,worst_63d,average_asset_weight,average_cash_weight,annual_turnover,transaction_cost_total,drawdown_peak_date,drawdown_trough_date,recovery_date,recovery_trading_days,recovered
v0_3_full_base_scores,full_proxy,second_half,2021-01-04,2026-07-24,1395,0.44995895121410534,0.06923969310416034,0.11081989455373878,0.3579606456996048,0.5103692291794418,-0.2428607066203664,-0.010255006421389734,-0.016767637218678366,-0.040285270072430324,-0.08921738776367627,-0.12310721757954779,-0.20668789365284912,0.41428494623655915,0.5857150537634408,1.9307615934879137,0.005357500000000001,2021-12-27,2022-12-28,2024-04-11,575,True
v0_4_full_enriched_ungated,full_proxy,full,2016-07-25,2026-07-24,2514,1.975660980658824,0.11526430389542819,0.10063187710145807,0.9066729107155029,1.3284288028200206,-0.17474675091466452,-0.009167878104521882,-0.015271711678824258,-0.03963906914773596,-0.05904577147061063,-0.08748068784820506,-0.12690194487279316,0.41922434367541767,0.5807756563245823,1.2044946589975352,0.006020000000000001,2021-12-27,2022-06-16,2023-06-12,366,True
v0_4_full_enriched_ungated,full_proxy,first_half,2016-07-25,2020-12-31,1119,0.8666241969575528,0.15091248847856265,0.10679629217867018,1.2648844876078305,1.834022489175458,-0.11241639785596058,-0.00968604501424023,-0.017307907074652705,-0.03963906914773596,-0.05360409842183711,-0.08748068784820506,-0.11176304343428889,0.4611215370866845,0.5388784629133154,1.594423592493298,0.0035400000000000006,2018-10-01,2019-01-03,2019-03-13,111,True
v0_4_full_enriched_ungated,full_proxy,second_half,2021-01-04,2026-07-24,1395,0.6018136873792514,0.08860300279609934,0.09540800280340134,0.5877325749652463,0.8702434005611035,-0.17474675091466452,-0.00910919636887213,-0.013626857993274228,-0.026102370368795258,-0.05904577147061063,-0.07991279163262688,-0.12690194487279316,0.38561648745519717,0.6143835125448028,0.8937543167242232,0.0024800000000000004,2021-12-27,2022-06-16,2023-06-12,366,True
v0_4_full_no_csp_e_gate,full_proxy,full,2016-07-25,2026-07-24,2514,1.9196451635372256,0.11314598763802608,0.0971484764774158,0.9160402874503916,1.3364034221865655,-0.16461270764694214,-0.009434226831267717,-0.014756533987775398,-0.03963906914773596,-0.05904577147061063,-0.07989908359882614,-0.1268888707462541,0.411289433121857,0.5887105668781429,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
v0_4_full_no_csp_e_gate,full_proxy,first_half,2016-07-25,2020-12-31,1119,0.8329575688533042,0.14620475369905894,0.10077698665708444,1.2935605899024962,1.868180683052631,-0.11481742637990089,-0.010035644735983262,-0.016206316196211715,-0.03963906914773596,-0.04400273151363021,-0.07896443927752139,-0.11028883744989071,0.44739645654007903,0.552603543459921,1.41201072386059,0.0031350000000000006,2018-10-01,2018-12-24,2019-03-11,109,True
v0_4_full_no_csp_e_gate,full_proxy,second_half,2021-01-04,2026-07-24,1395,0.6005228834425849,0.0884448787983505,0.09414691242488178,0.5927997175274305,0.8729281272151098,-0.16461270764694214,-0.009035554064932472,-0.013532815243527894,-0.026074692233406194,-0.05904577147061063,-0.07989908359882614,-0.1268888707462541,0.382326164874552,0.617673835125448,0.7477984706462756,0.0020750000000000005,2021-12-27,2022-06-16,2023-06-14,368,True
v0_4_full_enriched_scores,full_proxy,full,2016-07-25,2026-07-24,2514,1.9516540209044773,0.11436087961156871,0.09465649141730884,0.9491753193457988,1.3911743645471744,-0.16465738482313375,-0.00907687001372665,-0.014199038964827857,-0.03963906914773607,-0.05904577147061063,-0.07994153214204491,-0.12692935631444524,0.40767899761336523,0.5923210023866348,1.0424281018898933,0.005210000000000001,2021-12-27,2022-06-16,2023-06-14,368,True
v0_4_full_enriched_scores,full_proxy,first_half,2016-07-25,2020-12-31,1119,0.8602570573344963,0.15002722018011605,0.09582440850593814,1.3900678951083858,2.023418639121107,-0.08389452270033892,-0.00917376037847203,-0.015126041645924099,-0.03963906914773607,-0.0440009868088036,-0.07507127477780118,-0.0793073851977758,0.4392850759606792,0.5607149240393208,1.41201072386059,0.0031350000000000006,2018-10-01,2018-12-24,2019-02-05,86,True
v0_4_full_enriched_scores,full_proxy,second_half,2021-01-04,2026-07-24,1395,0.5943281138191421,0.08768455903686556,0.09371334256704975,0.5876223079169348,0.866092435652647,-0.16465738482313375,-0.00898865047286973,-0.013455119142508814,-0.02609291493461352,-0.05904577147061063,-0.07994153214204491,-0.12692935631444524,0.382326164874552,0.617673835125448,0.7477984706462756,0.0020750000000000005,2021-12-27,2022-06-16,2023-06-14,368,True
