date,QQQ_Haven_35_20_45,TQQQ_Haven_35_20_45,QQQ_Haven_50_15_35,TQQQ_Haven_50_15_35,QQQ_Haven_60_10_30,TQQQ_Haven_60_10_30,QQQ_Static35,TQQQ_Static35,QQQ_BuyHold,TQQQ_BuyHold,BIL_like_Cash
2018-06-28,117.48259424345937,150.45351560198782,125.08073466556932,178.26010261303549,130.34255566247148,198.65984990301968,117.95027302599604,154.44521783223325,153.40396638727802,300.8467042038864,101.70928510071681
2018-06-29,117.59852314193529,150.7005703157803,125.25323994851514,178.67282509423202,130.55641335581097,199.20896417737632,118.06666341824854,154.6988271874915,153.81617401937189,302.2183650141824,101.71652986923887
2018-07-02,117.87972325535927,151.89046705552366,125.67727913963654,180.68274095941666,131.0849448594308,201.8952419960064,118.34898294282905,155.9202932358735,154.84669309960654,308.99623216629277,101.72377515380693
2018-07-03,117.40781104011309,150.0673224722482,124.95458075665277,177.57887318627022,130.17847165859376,197.73036429490313,117.87519212308221,154.0487785612113,153.0544860035463,298.35739384446055,101.73122278734496
2018-07-05,117.9234487206274,152.00324705148586,125.73463423509675,180.84592101282976,131.15176304422002,202.09281633455598,118.39288247194462,156.03606541290637,154.95422552537013,309.3137462427502,101.73867096615619
2018-07-06,118.57105926956264,154.40384549529938,126.71717164523804,184.9204693256388,132.37970607981885,207.55379088178918,119.04307105139607,158.50035445327228,157.36474406957123,323.2293298336227,101.74603894530357
2018-07-09,118.95005443846752,155.9152513466945,127.29183574114198,187.50058775117787,133.09819068886412,211.02586227515894,119.42357493740343,160.05185961430257,158.78058767545883,332.22556199991544,101.75344783345692
2018-07-10,118.98625995479162,156.05340362236885,127.34319099587927,187.73204613569553,133.16067911060657,211.3353709868207,119.4599245819016,160.1936772263748,158.89708113670275,333.02146395156865,101.76089763945902
2018-07-11,118.78058005181327,155.26168758171576,127.0247083188058,186.3655045077093,132.75908017660254,209.4862333403694,119.25342590123766,159.3809560621621,158.09058794347564,328.1486812582026,101.7683883722019
2018-07-12,119.50257516786604,157.95064155251183,128.12375301515502,190.97059755105383,134.13553837710987,215.6948702050685,119.97829516046923,162.14125102834342,160.81474272948725,344.34189915752944,101.7757988877838
2018-07-13,119.54322200720806,158.11992095799542,128.18198879337575,191.2569877420056,134.2067362100847,216.07987352785227,120.0191038081579,162.31502160824525,160.9491582616918,345.3494771601543,101.78325033020236
2018-07-16,119.44874253594016,157.75431571037586,128.03324245481008,190.61923678008668,134.01788587017535,215.21208134513813,119.92424822973662,161.93971643918167,160.5638337360388,343.0210405994668,101.79070231817295
2018-07-17,119.70884300571667,158.78411138987857,128.42743587385655,192.39077661987497,134.51103454549914,217.60899400391781,120.18538411647704,162.99683376480294,161.54058660339166,349.37132212861457,101.79827603114306
2018-07-18,119.63564106043249,158.43828325225056,128.3111282499274,191.7860051611019,134.3628416881743,216.78488600153202,120.11189076635225,162.64183041486612,161.23591139706144,347.1487235934128,101.80589070377475
2018-07-19,119.43195232970444,157.62560040034776,127.99497365475719,190.37458722227277,133.96357391213922,214.86720547319393,119.90739118446602,161.80758616614625,160.4294182038343,342.013462596842,101.81342514767009
2018-07-20,119.42835814145398,157.55669887332297,127.98541125875731,190.24966782239724,133.949581072525,214.69483603028317,119.90378268834642,161.73685660354516,160.3935740619131,341.53930824266575,101.82096014917408
2018-07-23,119.56718580068284,158.0427177372047,128.19390887246996,191.08204823554257,134.2094654570984,215.81887475115508,120.04316299753224,162.23577009853696,160.90435308429028,344.502772956268,101.82845530318505
2018-07-24,119.74537223579473,158.75586390465472,128.46278253531227,192.30777952550758,134.54527841138488,217.47698972763897,120.22205876338008,162.96783684179212,161.56746970983258,348.89716777443834,101.83595100892265
2018-07-25,120.33697040991073,161.08087940025283,129.36533038434916,196.32503010024166,135.67760393046458,222.92536939706147,120.81601199200954,165.3545376326922,163.82565065086848,363.4477795182256,101.84356849970246
2018-07-26,119.70463967761272,158.6260180029793,128.39010270095253,192.04451287524978,134.4482091913869,217.0894638227433,120.18116405561886,162.834545981232,161.34344382282504,347.5720756953562,101.85114614616823
2018-07-27,119.14491985834105,156.31749406480287,127.52843564137011,188.04578059194438,133.36343987422674,211.66200878622686,119.61921608429348,160.46477428745663,159.16591220111184,333.072266203802,101.85864352220398
2018-07-30,118.56136628509581,153.9689758086088,126.63208394890708,184.003809228128,132.23662926714138,206.19936418066328,119.03333948076076,158.0539471810937,156.91669229555617,318.7290969899668,101.86618187022655
2018-07-31,118.88473688567589,155.05093138757996,127.12138576616914,185.84500987133384,132.84777906976944,208.67220235390477,119.35799736623407,159.1646082674126,158.11747104991656,325.083612040134,101.8738824684989
2018-08-01,119.04854428307156,155.8005689972306,127.36751235050421,187.12262090328363,133.15443759796796,210.39051074614332,119.52245685379405,159.93413461217418,158.71786042709675,329.5288091105375,101.88154322275594
2018-08-02,119.62130909264772,157.9799207613436,128.2388203079824,190.85585793740125,134.24550985382407,215.42428526498395,120.09750174537339,162.17130704775832,160.8774699778494,342.65272427077633,101.88920455308957
2018-08-03,119.75538845816871,158.48220409643932,128.4400498708021,191.7166102294362,134.49628765339995,216.58692835021895,120.2321148586792,162.68691652881276,161.37032692926596,345.717793488845,101.89682602731902
2018-08-06,120.00789970807762,159.50942042510076,128.82284473038254,193.4856797481005,134.97529962032314,218.9819784855653,120.48563131412253,163.74138607049252,162.3201966901779,352.0723085390122,101.90440763639843
2018-08-07,120.16686835829282,160.0624044898914,129.06242833988642,194.43762441591403,135.27447928012185,220.27151328508498,120.64523279224962,164.30904142904382,162.9116250318778,355.5099276067908,101.91215156261366
2018-08-08,120.22373073542924,160.22045521066622,129.14544838583896,194.70553591097243,135.37683176085548,220.632356983582,120.70232152910746,164.4712854145096,163.1087678124444,356.46246983616294,101.91993651863581
2018-08-09,120.20427102898681,160.17846063755607,129.11135784208832,194.6262569323304,135.33188097213645,220.52118337266572,120.68278435679125,164.42817667779565,163.0101964221611,356.1449557597055,101.92772206934208
2018-08-10,119.88876527122633,158.87890073153872,128.6230101192462,192.3641112807674,134.71556210419917,217.4420666959675,120.36602262277644,163.09413797509197,161.76461249039923,347.8387875195802,101.93550821477793
2018-08-13,119.84819805090461,158.7256710077328,128.55664589272823,192.09281162170612,134.63010535970673,217.07076006417608,120.32529391105817,162.93684289310679,161.58539178079317,346.8312095169554,101.94325450439028
2018-08-14,120.11701465390989,159.75952934124413,128.96436496503193,193.8739441910089,135.14042586434633,219.4827249269318,120.5951806285126,163.9981306595504,162.59798879006723,353.23652681935584,101.95104183633157
2018-08-15,119.60867911801896,157.7316336743972,128.1804168423606,190.35192483149933,134.1525504004727,214.69464602649313,120.08482149290394,161.91643262309003,160.60863891344036,340.3750899623218,101.95891067666376
2018-08-16,119.75245611604686,158.245561830938,128.3963140240419,191.23167930790063,134.42163761852305,215.88206077233824,120.22917084338818,162.44399587589592,161.13734000677812,343.49519495364314,101.96673966444787
2018-08-17,119.76775644999253,158.245268509243,128.41552406303535,191.22487984702303,134.44370710894873,215.86953432066048,120.24453208543345,162.44369477204398,161.17318414869936,343.44439270141,101.97456925338642
2018-08-20,119.73638227612912,158.14180127950536,128.36328535200968,191.04003681751084,134.37603464772997,215.61585520070992,120.21303301617145,162.3374824394748,161.02980758101452,342.7543287752426,101.98231851132769
2018-08-21,119.89624574106617,158.72255173637987,128.6039136821357,192.03601676201632,134.67626139303184,216.96148711299688,120.3735328711298,162.93364086395076,161.62123592271442,346.3020193895265,101.99010882732509
2018-08-22,120.06512715344988,159.37568881911002,128.85844070788946,193.15855124497548,134.9940366305543,218.48001969183585,120.54308657249257,163.60410641347914,162.2485084063355,350.32386435798685,101.9979806829469
2018-08-23,120.01083739648016,159.10599780475832,128.7709194940931,192.68518988776793,134.88191583552077,217.83413170327077,120.48858069697685,163.3272601909613,162.01552148384766,348.57965369798086,102.00589362152763
2018-08-24,120.4071589105137,160.66073108501513,129.3741608984959,195.36861403236853,135.63807656896418,221.47116120072457,120.88647990142806,164.9232423066302,163.5209754445383,358.26171626942147,102.01376669545996
2018-08-27,120.84278488761517,162.36324568538382,130.0385280844776,198.31970762631514,136.47181269087935,225.48218009028028,121.32384003351586,166.67092654826732,165.18772804387433,369.0571948689727,102.02168085870953
2018-08-28,120.91092089364042,162.62383407495676,130.13888237073513,198.767723346808,136.5960455516574,226.08988063636878,121.39224727771514,166.93842864305793,165.42967600184247,370.69556750349284,102.02971709031688
2018-08-29,121.40541042168493,164.6232588358205,130.8947942763552,202.25213092551292,137.54598479883094,230.84234042372995,121.88870528680948,168.99090040814235,167.33837655914664,383.6628423860127,102.03779444291985
2018-08-30,121.33656764374581,164.3062074483246,130.7843193164856,201.6888093402212,137.40450072483077,230.06714265762454,121.81958845715421,168.66543728812223,167.0426623882967,381.4952796240636,102.04587243497988
2018-08-31,121.39742546284198,164.48177745123346,130.87363569426967,201.98991395696163,137.5149519521741,230.47570177605516,121.88068854116567,168.8456653621261,167.25772723982394,382.6044621311547,102.05387007776004
2018-09-04,121.22149734814147,163.80538456577565,130.5982956281398,200.7965060966117,137.16562148520092,228.838038180435,121.70406008572934,168.15132700707525,166.54084440139985,378.0534270352655,102.06186834733957
2018-09-05,120.67984143103423,161.53466265040987,129.7602154547226,196.81325834179603,136.10718058681596,223.38699780538437,121.16024792597612,165.82036026660475,164.39019588612751,363.0244274162823,102.06994824525037
2018-09-06,120.308485218858,160.00217373647342,129.18536458723298,194.13914864720624,135.3814524769924,219.74124131558258,120.78741340612109,164.2472126854972,162.9205860673581,353.13068879387015,102.0780692867675
2018-09-07,120.15255311362674,159.4558577897557,128.94178515656498,193.185598641499,135.07299432756372,218.4426028285656,120.63086056096147,163.68640235774618,162.293313583737,349.6338004318194,102.0861504672527
2018-09-10,120.30040778199862,159.95471092687833,129.16406031273155,194.042405099045,135.35025821599774,219.60171678688673,120.77930381432111,164.19849063378896,162.8399367480354,352.7073366919271,102.09427279787518
2018-09-11,120.631014037096,161.205462646975,129.66674899394644,196.20335627545953,135.9802218388993,222.53293294535564,121.111226158256,165.48242621410063,164.09448171527757,360.53511705685645,102.10239577473865
2018-09-12,120.51277925134679,160.7255606124965,129.48074686229586,195.36221931874655,135.74397694603212,221.38455784172754,120.99252069937425,164.98979183492642,163.6105857993413,357.4150120655352,102.11055991471827
2018-09-13,120.9695611953626,162.39975210583742,130.17739257111387,198.26260969627637,136.61820789108396,225.32506834619844,121.45112101678262,166.70840152541675,165.357987718,367.99881461411485,102.11876522756856
2018-09-14,120.85194860032435,161.97531352588877,129.9921245537515,197.5155759699658,136.38270160774204,224.30266208986316,121.33304022545018,166.2727021090602,164.87409180206373,365.196223699251,102.12693067645482
2018-09-17,120.24904207333107,159.59290908452422,129.0612119821108,193.3585647520267,135.20849685134326,218.6341145317364,120.72773362726046,163.82708977864175,162.49941739978388,349.7946742305578,102.13513730481276
2018-09-18,120.6034576417314,160.92830466988758,129.6001788215969,195.66323445565948,135.88388975153686,221.75772009128485,121.08356006543777,165.1979149218657,163.84357272182913,358.1050759917026,102.1433445926319
2018-09-19,120.57746713891217,160.8115675935577,129.55579446589053,195.45370031136778,135.82585150243045,221.4691643115743,121.0574660987242,165.07808067863968,163.71811822510486,357.30917404004947,102.1515930730385
2018-09-20,121.05036761744441,162.58717955456424,130.27720865808703,198.5299911925443,136.7312623909575,225.6485101108602,121.53224911586985,166.90080163671044,165.52824739212576,368.5280047415439,102.15980168319614
2018-09-21,120.82506659683328,161.68901708483796,129.9263082353763,196.9563811706081,136.2871128464709,223.49859397490667,121.30605120914801,165.97880989905923,164.62318280861533,362.6561110875919,102.16805149257809
2018-09-24,120.94878080905866,162.18442679960543,130.1118367983552,197.81162800370515,136.51843467080823,224.65956836540272,121.43025790719675,166.48736339485043,165.07997159222364,365.77621607891325,102.17634251104248
2018-09-25,121.01283621498573,162.42309802421977,130.20566346877555,198.2204714085286,136.63431155626625,225.21305108930747,121.49456830710355,166.7323668374643,165.3043992005659,367.2579484357144,102.18479638700026
2018-09-26,121.04921466146979,162.37412398394264,130.2569857137312,198.12809393410745,136.696688843338,225.0833939032014,121.53109157016806,166.68209346041186,165.4211015569039,366.8853985860044,102.19321041289322
2018-09-27,121.41433628516019,163.9572931556896,130.8136899128245,200.88081458526338,137.39552068488567,228.83237853769697,121.89766668267139,168.3072659039895,166.82152983295953,377.0500825536603,102.2015845787465
2018-09-28,121.41159357678526,163.877025447892,130.80491887426865,200.73333650980456,137.38223591457373,228.62706585449934,121.8949130560279,168.2248686029621,166.78562141562475,376.4658566529787,102.20987831844745
2018-10-01,121.50494305949356,164.2159538282212,130.9440212464659,201.31939841914934,137.55531157188327,229.42433772919037,121.988634147592,168.57278913722158,167.12675138030497,378.63341941492786,102.21821329066745
2018-10-02,121.4155684942763,163.8957972016805,130.80175923210112,200.75152016832382,137.37369074930933,228.6439356857263,121.89890379700823,168.24413839264665,166.74971299829,376.46585665297874,102.22671119371682
2018-10-03,121.46788504267194,164.07366409467775,130.87761450359037,201.05560230869753,137.46700644147697,229.05573160092266,121.95142860893276,168.4267242958354,166.92925508496376,377.57503916006976,102.2352098032387
2018-10-04,120.6582395713385,160.80710945395626,129.62671411427814,195.33010918026784,135.88806430542567,221.2244942508528,121.13856007284866,165.0735042595436,163.72442883783648,356.03911773422,102.2437091192918
2018-10-05,120.14836843753969,158.6996431388679,128.83958960863285,191.66616955574295,134.8956417701743,216.24124366522892,120.62665922637079,162.91012447539174,161.72253457142367,342.6527242707764,102.25216856903441
