date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2018-10-05,TQQQ_Full_35_20_45,TQQQ,18,covered_call,CLOSE,call,-1.0,9.5,2018-10-19,82,8.0938,0.042245620007147155,0.032245620007147154,0.05224562000714716,0.05224562000714716,0.6026208173415633,0.098335038044022,-428.4140840586067,-135.3,135.3,CALL_STATE_EXIT,,
2018-10-19,TQQQ_Full_35_20_45,TQQQ,17,cash_secured_put,SETTLE,put,-1.0,7.5,2018-10-19,216,7.05,0.4500000000000002,0.4500000000000002,0.4500000000000002,0.4500000000000002,0.0,-1.0,-9720.000000000004,-0.0,0.0,EXPIRY,,
2018-10-19,TQQQ_Full_35_20_45,TQQQ,17,cash_secured_put,ASSIGN,put,-1.0,7.5,2018-10-19,216,7.05,,,,,,,0.0,0.0,0.0,CSP_ITM_EXPIRY,21600.0,7.334465764240153
2018-11-08,TQQQ_Full_35_20_45,TQQQ,17,assigned_inventory,SELL_ASSIGNED,,,,,216,7.0613,,,,7.0613,,,152524.08000000002,-76.26204000000001,76.26204000000001,ASSIGNED_CAPACITY_EXIT,21600.0,7.334465764240153
2019-03-01,TQQQ_Full_35_20_45,TQQQ,19,cash_secured_put,OPEN,put,-1.0,5.5,2019-04-18,283,6.5075,0.1908213466015598,0.1808213466015598,0.2008213466015598,0.1808213466015598,0.6493150325027633,-0.1988396465099893,5117.244108824142,-466.9500000000003,466.9500000000003,CONDITIONAL_ENTRY_CSP,,
2019-03-12,TQQQ_Full_35_20_45,TQQQ,20,insurance,OPEN,put,1.0,5.5,2019-05-17,207,6.6338,0.2558238988029111,0.2458238988029111,0.26582389880291113,0.26582389880291113,0.6708984168615184,-0.2074727186366735,-5502.554705220261,-341.5500000000002,341.5500000000002,RISK_WARNING_INSURANCE_ENTRY,,
2019-03-12,TQQQ_Full_35_20_45,TQQQ,20,insurance,OPEN,put,-1.0,4.5,2019-05-17,207,6.6338,0.10928458857763357,0.09928458857763357,0.11928458857763356,0.09928458857763357,0.7916432276230849,-0.09103265154888474,2055.190983557015,-341.54999999999995,341.54999999999995,RISK_WARNING_INSURANCE_ENTRY,,
2019-03-13,TQQQ_Full_35_20_45,TQQQ,20,insurance,CLOSE,put,1.0,5.5,2019-05-17,207,6.7775,0.22929403254124114,0.21929403254124114,0.23929403254124115,0.21929403254124114,0.6782065524544117,-0.18722374773299677,4539.386473603691,-341.5500000000002,341.5500000000002,INSURANCE_RECOVERY_EXIT,,
2019-03-13,TQQQ_Full_35_20_45,TQQQ,20,insurance,CLOSE,put,-1.0,4.5,2019-05-17,207,6.7775,0.09591181574370278,0.08591181574370278,0.10591181574370277,0.10591181574370277,0.795222780052585,-0.08057645177687134,-2192.374585894647,-341.54999999999995,341.54999999999995,INSURANCE_RECOVERY_EXIT,,
2019-03-21,TQQQ_Full_35_20_45,TQQQ,19,cash_secured_put,CLOSE,put,-1.0,5.5,2019-04-18,283,7.4562,0.025771460707247507,0.015771460707247505,0.03577146070724751,0.03577146070724751,0.6773842747418287,-0.04218502830561344,-1012.3323380151045,-466.95000000000005,466.95000000000005,CSP_PROFIT_TARGET,,
