date,momentum_deceleration,macd_rollover,breadth_weakening_5,breadth_weakening_20,failed_breakout,volume_price_divergence,relative_strength_weakening,rsi_rollover
2017-03-06,66.07142857142857,68.84920634920636,96.33333333333333,98.14814814814815,42.1031746031746,69.48529411764706,59.629629629629626,84.08730158730158
2017-03-07,60.198412698412696,69.88095238095238,93.70860927152317,98.8970588235294,46.54761904761905,68.97810218978103,63.60294117647059,89.96031746031746
2017-03-08,79.64285714285714,78.76984126984127,90.46052631578948,96.71532846715328,42.42063492063492,28.6231884057971,63.13868613138686,73.61111111111111
2017-03-09,67.65873015873017,80.35714285714286,95.7516339869281,99.0,39.08730158730159,28.776978417266186,67.02898550724638,71.54761904761905
2017-03-10,63.13492063492063,79.72222222222223,91.23376623376623,98.92086330935251,25.674603174603174,28.928571428571427,55.75539568345324,61.86507936507937
2017-03-13,51.46825396825397,75.11904761904762,70.0,98.92857142857143,10.476190476190476,29.078014184397162,49.642857142857146,57.182539682539684
2017-03-14,48.05555555555556,72.5,66.34615384615384,98.22695035460993,30.27777777777778,73.59154929577464,47.163120567375884,71.38888888888889
2017-03-15,39.801587301587304,66.07142857142857,32.802547770700635,93.30985915492958,10.436507936507937,29.02097902097902,51.76056338028169,10.595238095238095
2017-03-16,39.08730158730159,60.833333333333336,15.50632911392405,92.65734265734265,24.404761904761905,63.541666666666664,50.0,28.69047619047619
2017-03-17,49.642857142857146,61.86507936507937,7.861635220125786,82.29166666666667,26.944444444444443,77.58620689655173,43.40277777777778,35.75396825396825
2017-03-20,49.24603174603175,63.69047619047619,31.5625,87.24137931034483,23.214285714285715,28.767123287671232,43.793103448275865,31.150793650793652
2017-03-21,68.61111111111111,74.32539682539682,27.63975155279503,92.12328767123287,62.817460317460316,98.29931972789116,47.602739726027394,96.38888888888889
2017-03-22,71.07142857142857,82.65873015873017,62.03703703703704,89.45578231292517,50.67460317460318,28.716216216216218,41.83673469387755,87.34126984126983
2017-03-23,74.72222222222223,89.0079365079365,35.88957055214724,71.95945945945945,54.801587301587304,76.1744966442953,35.472972972972975,92.10317460317461
2017-03-24,70.35714285714286,90.83333333333333,51.52439024390244,76.84563758389261,51.70634920634921,28.666666666666668,32.5503355704698,89.48412698412699
2017-03-27,68.37301587301587,91.46825396825396,41.515151515151516,84.33333333333333,47.34126984126984,28.807947019867548,29.0,84.72222222222223
2017-03-28,24.96031746031746,78.76984126984127,26.204819277108435,66.55629139072848,27.817460317460316,28.94736842105263,30.132450331125828,70.27777777777777
2017-03-29,25.753968253968253,67.34126984126983,6.88622754491018,31.25,10.238095238095237,29.084967320261438,14.144736842105264,53.611111111111114
2017-03-30,22.42063492063492,50.595238095238095,21.726190476190474,38.888888888888886,10.238095238095237,29.22077922077922,21.895424836601308,46.54761904761905
