date,strategy_name,state,event_id,event_active,P,S,G,E,R_proxy,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,base_portfolio_return,base_pnl,covered_call_pnl,cash_secured_put_pnl,insurance_pnl,assigned_inventory_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,assigned_shares,assigned_market_value,assigned_weight,covered_call_contracts,covered_call_coverage,cash_secured_put_collateral,cash_secured_put_collateral_weight,insurance_contracts,portfolio_return,equity,effective_asset_weight,gross_return,drawdown
2024-11-25,QQQ_v0_3_Full,RANGE_CARRY,0,False,4.547619047619068,65.31084656084657,48.017857142857174,45.363095238095205,21.236772486772505,26.654556878306874,9.285,78.76322751322749,0.35,0.35,0.001581684098143299,0.00017837301587301588,0.0,0.0,0.0006695318946676149,743.125732431696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0006695318946676743,1110661.47069883,0.35,0.0006695318946676743,-0.003812168137737104
2024-11-26,QQQ_v0_3_Full,RANGE_CARRY,0,False,0.04497354497356388,70.75859788359787,51.74933862433867,39.69444444444441,14.94708994708997,27.94068783068783,8.903280423280425,85.05291005291004,0.35,0.35,0.005369233502438009,0.00017797619047619048,0.0,0.0,0.0019949162496628267,2215.676615771509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001994916249662859,1112877.1473146016,0.35,0.001994916249662859,-0.0018248568442386093
2024-11-27,QQQ_v0_3_Full,RANGE_CARRY,0,False,0.22486772486774387,70.71362433862434,53.1587301587302,41.130952380952344,12.103174603174622,28.865515873015866,9.188412698412696,87.89682539682538,0.35,0.35,-0.007873397341501276,0.0001775793650793651,0.0,0.0,-0.0026402624822238594,-2938.2877793790576,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.002640262482223932,1109938.8595352224,0.35,-0.002640262482223932,-0.004460301225401309
2024-11-29,QQQ_v0_3_Full,NORMAL_PARTICIPATION,0,False,0.2566137566137755,69.95502645502644,56.894179894179935,42.15079365079362,11.428571428571447,29.35007936507936,9.60962962962963,88.57142857142856,0.35,0.35,0.008786859291509908,0.0001771825396825397,0.0,0.0,0.0031905694028221184,3541.3369642363577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.00319056940282203,1113480.1964994587,0.35,0.00319056940282203,-0.001283962723196308
2024-12-02,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,1.388888888888908,68.29563492063492,61.46891534391538,42.15542328042324,11.865079365079382,29.51585317460317,9.97616402116402,88.13492063492062,0.35,0.35,0.01088790363714831,0.0001763888888888889,0.0,0.0,0.003925419050779686,4370.876376004884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.003925419050779588,1117851.0728754636,0.35,0.003925419050779588,0.0
2024-12-03,QQQ_v0_3_Full,GREED_TREND,0,False,2.7023809523809708,66.20899470899471,68.15939153439157,39.92063492063488,12.142857142857162,29.646706349206344,10.243227513227513,87.85714285714283,0.35,0.35,0.003066234547536517,0.00017361111111111112,0.0,0.0,0.0011860293138600032,1325.8041409601547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0011860293138599154,1119176.8770164237,0.35,0.0011860293138599154,0.0
2024-12-04,QQQ_v0_3_Full,GREED_TREND,0,False,5.414021164021183,64.22288359788361,73.45039682539687,38.0886243386243,11.699735449735469,35.9502447089947,18.500238095238096,88.30026455026453,0.35,0.35,0.012362876545359613,0.00017281746031746033,0.0,0.0,0.004439338140082213,4968.40459563711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0044393381400820164,1124145.2816120607,0.35,0.0044393381400820164,0.0
2024-12-05,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,8.686507936507956,60.732142857142854,75.27116402116405,40.27976190476187,14.226190476190496,39.10424603174603,23.547724867724867,85.7738095238095,0.35,0.35,-0.0027710889423996354,0.00017202380952380952,0.0,0.0,-0.0008580656536493962,-964.5904558633374,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0008580656536494313,1123180.6911561973,0.35,-0.0008580656536494313,-0.0008580656536494313
2024-12-06,QQQ_v0_3_Full,GREED_TREND,0,False,11.033068783068805,60.047619047619044,77.11137566137569,37.98941798941795,17.164021164021182,40.87823677248677,26.892322751322755,82.83597883597882,0.35,0.35,0.008949617676932364,0.00017162698412698414,0.0,0.0,0.003243923726608867,3643.5124933105344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.003243923726608866,1126824.2036495078,0.35,0.003243923726608866,0.0
2024-12-09,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,12.665343915343934,56.38161375661375,74.55251322751326,41.95171957671954,22.21031746031748,40.38223809523809,27.913089947089944,77.78968253968252,0.35,0.35,-0.007787570278073308,0.00017003968253968254,0.0,0.0,-0.002615123803674864,-2946.7847975208006,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0026151238036749014,1123877.418851987,0.35,-0.0026151238036749014,-0.0026151238036749014
2024-12-10,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,13.665343915343934,52.64417989417989,71.70264550264555,45.66931216931213,24.234126984127002,39.68719841269841,27.660973544973544,75.765873015873,0.35,0.35,-0.003407481143994695,0.00017003968253968254,0.0,0.0,-0.0010820926067473494,-1216.1394458300292,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.001082092606747409,1122661.2794061569,0.35,-0.001082092606747409,-0.0036943866042886686
2024-12-11,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,14.906084656084674,50.159391534391524,70.87235449735455,48.67592592592589,23.009259259259277,38.559431216931216,25.748994708994708,76.99074074074072,0.35,0.35,0.017902420284287235,0.00016964285714285717,0.0,0.0,0.006376114956643389,7158.217374866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.006376114956643253,1129819.4967810228,0.35,0.006376114956643253,0.0
2024-12-12,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,16.257936507936527,50.07407407407407,71.41931216931222,49.790343915343875,20.25132275132277,37.221316137566134,23.0455291005291,79.74867724867723,0.35,0.35,-0.006453804347826053,0.00016845238095238095,0.0,0.0,-0.0021493374741200708,-2428.3633834229327,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.002149337474119939,1127391.1333976,0.35,-0.002149337474119939,-0.002149337474119939
2024-12-13,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,17.94312169312171,51.388888888888886,74.21825396825402,46.602513227513185,18.45238095238097,36.80803571428571,21.894841269841265,81.54761904761904,0.35,0.35,0.007654320987654284,0.00016726190476190476,0.0,0.0,0.002787732583774237,3142.8649972306566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.002787732583774183,1130533.9983948306,0.35,0.002787732583774183,0.0
2024-12-16,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,20.99338624338626,50.304232804232804,75.75661375661379,45.912037037037,27.480158730158745,37.10778769841271,25.30376984126986,72.51984126984125,0.35,0.35,0.014400693645976625,0.00016686507936507938,0.0,0.0,0.00514870507767912,5820.786138024342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.005148705077679283,1136354.784532855,0.35,0.005148705077679283,0.0
2024-12-17,QQQ_v0_3_Full,GREED_EXHAUSTING,0,False,24.11507936507938,48.32076719576719,76.4927248677249,44.5396825396825,37.58597883597886,39.8154794973545,32.282632275132286,62.41402116402114,0.35,0.35,-0.0044038129215675514,0.00016805555555555557,0.0,0.0,-0.0014320984114375318,-1627.3718817589404,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0014320984114376545,1134727.412651096,0.35,-0.0014320984114376545,-0.0014320984114376545
2024-12-18,QQQ_v0_3_Full,RISK_WARNING,0,False,32.70158730158732,36.14179894179894,65.843253968254,55.45740740740737,55.350529100529116,52.031808201058205,54.492587301587314,44.649470899470884,0.35,0.35,-0.03607689436356831,0.00016845238095238095,0.0,0.0,-0.01251741897962986,-14203.858451825114,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.01251741897962988,1120523.554199271,0.35,-0.01251741897962988,-0.013931591215231465
2024-12-19,QQQ_v0_3_Full,RISK_WARNING,0,False,39.81904761904764,24.032275132275128,53.54431216931221,68.85489417989415,63.234126984126995,59.68142460317462,67.31994179894183,36.765873015873005,0.35,0.35,-0.004453308033380621,0.00016765873015873016,0.0,0.0,-0.0014496796370800425,-1624.4001793912385,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.0014496796370800924,1118899.1540198796,0.35,-0.0014496796370800924,-0.015361074508214667
2024-12-20,QQQ_v0_3_Full,RISK_WARNING,0,False,42.44100529100531,20.192989417989413,46.22288359788363,77.33505291005287,60.43650793650795,63.16284325396827,71.02929365079368,39.56349206349205,0.35,0.35,0.008732520372639385,0.00016726190476190476,0.0,0.0,0.0031651023685190225,3541.4303625222515,0.0,0.0,-68.57131231851669,0.0,68.57131231851669,0.0,0.0,2704.823805059187,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4,0.0031038177459752347,1122372.0130700832,0.35,0.0031038177459752347,-0.01230493473789529
