date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,candidate_id
2021-08-10,I015,QQQ,10,insurance,CLOSE,put,1,292.0,2021-08-20,1,366.84,2.947195359222801e-07,0.0,0.010000294719535922,0.0,0.2661666666666666,-1.0040652695906454e-07,0.0,-0.6500294719535923,0.6500294719535923,INSURANCE_DTE_ROLL,I015
2021-08-10,I015,QQQ,10,insurance,CLOSE,put,-1,258.0,2021-08-20,1,366.84,5.338651009014027e-13,0.0,0.010000000000533865,0.010000000000533865,0.29449999999999993,-2.2023960875505833e-13,-1.0000000000533864,-1.65,1.65,INSURANCE_DTE_ROLL,I015
2021-12-27,I015,QQQ,11,insurance,OPEN,put,1,373.0,2022-03-18,1,403.48,7.950999288181293,7.752224305976761,8.149774270385826,8.149774270385826,0.26659916289985247,-0.2473767494960031,-814.9774270385826,-20.527498220453303,20.527498220453303,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2021-12-27,I015,QQQ,11,insurance,OPEN,put,-1,341.0,2022-03-18,1,403.48,2.8587416387066114,2.787273097738946,2.9302101796742765,2.787273097738946,0.2950870520788215,-0.10119947141855194,278.7273097738946,-7.79685409676652,7.79685409676652,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2022-03-08,I015,QQQ,11,insurance,CLOSE,put,1,373.0,2022-03-18,1,323.35,49.74483179975431,48.50121100476045,50.98845259474817,48.50121100476045,0.38020000000000004,-0.9872799561697032,4850.121100476045,-125.01207949938592,125.01207949938592,INSURANCE_DTE_ROLL,I015
2022-03-08,I015,QQQ,11,insurance,CLOSE,put,-1,341.0,2022-03-18,1,323.35,19.97812812878618,19.478674925566526,20.477581332005837,20.477581332005837,0.38020000000000004,-0.7919757322217762,-2047.7581332005836,-50.595320321965524,50.595320321965524,INSURANCE_DTE_ROLL,I015
2022-08-23,I015,QQQ,12,insurance,OPEN,put,1,287.0,2022-11-18,8,314.1,8.351858414561619,8.143061954197579,8.560654874925659,8.560654874925659,0.3330105534681808,-0.2514230963149182,-6848.5238999405265,-172.2371682912318,172.2371682912318,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2022-08-23,I015,QQQ,12,insurance,OPEN,put,-1,253.0,2022-11-18,8,314.1,2.9697341149302936,2.8954907620570363,3.043977467803551,2.8954907620570363,0.38088522077438863,-0.09928836279454999,2316.392609645629,-64.59468229860587,64.59468229860587,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2022-09-09,I015,QQQ,12,insurance,CLOSE,put,1,287.0,2022-11-18,4,307.09,8.201884534638552,7.996837421272588,8.406931648004516,7.996837421272588,0.3248497050672189,-0.2807025137559529,3198.734968509035,-84.61884534638565,84.61884534638565,INSURANCE_PARTIAL_MONETIZATION,I015
2022-09-09,I015,QQQ,12,insurance,CLOSE,put,-1,253.0,2022-11-18,4,307.09,2.485574558085826,2.4234351941336807,2.5477139220379716,2.5477139220379716,0.37397813551700215,-0.09778191094642884,-1019.0855688151887,-27.455745580858192,27.455745580858192,INSURANCE_PARTIAL_MONETIZATION,I015
