date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2019-03-11,QQQ_v0_3_Full,QQQ,17,insurance,OPEN,put,1.0,161.0,2019-06-21,7,174.73,2.376933202965944,2.317509872891795,2.4363565330400925,2.4363565330400925,0.21256469568313857,-0.2040401737118239,-1705.4495731280647,-46.14633105190408,46.14633105190408,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2019-03-15,QQQ_v0_3_Full,QQQ,16,cash_secured_put,CLOSE,put,-1.0,165.0,2019-04-18,7,178.35,0.280162878498297,0.270162878498297,0.290162878498297,0.290162878498297,0.1754658637713182,-0.06566606422221447,-203.11401494880792,-11.550000000000006,11.550000000000006,CSP_PROFIT_TARGET,,
2019-05-17,QQQ_v0_3_Full,QQQ,17,insurance,CLOSE,put,1.0,161.0,2019-06-21,3,183.04,0.15372603662330864,0.14372603662330863,0.16372603662330865,0.14372603662330863,0.22730468940725937,-0.030041697343464867,43.117810986992595,-4.950000000000003,4.950000000000003,INSURANCE_PARTIAL_MONETIZATION,,
2019-06-11,QQQ_v0_3_Full,QQQ,17,insurance,CLOSE,put,1.0,161.0,2019-06-21,4,183.4,0.0008658799060750344,0.0,0.010865879906075035,0.0,0.2392442748091603,-0.00045049277978245755,0.0,-2.946351962430014,2.946351962430014,INSURANCE_DTE_ROLL,,
2019-08-02,QQQ_v0_3_Full,QQQ,18,insurance,OPEN,put,1.0,173.0,2019-10-18,8,187.35,2.244094988101338,2.1879926133988046,2.3001973628038717,2.3001973628038717,0.22519924799187233,-0.19785263918418414,-1840.1578902430974,-50.081899762026836,50.081899762026836,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2019-08-14,QQQ_v0_3_Full,QQQ,18,insurance,CLOSE,put,1.0,173.0,2019-10-18,4,182.76,3.44465945805635,3.3585429716049413,3.5307759445077584,3.3585429716049413,0.24894495547939877,-0.27551254794163527,1343.4171886419765,-37.04659458056343,37.04659458056343,INSURANCE_PARTIAL_MONETIZATION,,
2019-10-08,QQQ_v0_3_Full,QQQ,18,insurance,CLOSE,put,1.0,173.0,2019-10-18,4,185.42,0.16418419208473978,0.15418419208473977,0.1741841920847398,0.15418419208473977,0.25751105598101603,-0.049071104273087425,61.67367683389591,-6.600000000000003,6.600000000000003,INSURANCE_DTE_ROLL,,
2019-10-10,QQQ_v0_3_Full,QQQ,19,cash_secured_put,OPEN,put,-1.0,178.0,2019-11-15,7,188.68,1.509347367006562,1.471613682831398,1.5470810511817261,1.471613682831398,0.22829158344096004,-0.19458366330775356,1030.1295779819784,-30.963578922614868,30.963578922614868,CONDITIONAL_ENTRY_CSP,,
2019-10-15,QQQ_v0_3_Full,QQQ,19,cash_secured_put,CLOSE,put,-1.0,178.0,2019-11-15,7,193.52,0.312908273739545,0.302908273739545,0.322908273739545,0.322908273739545,0.19400820081117456,-0.06420277030453383,-226.0357916176815,-11.550000000000006,11.550000000000006,CSP_PROFIT_TARGET,,
2019-10-16,QQQ_v0_3_Full,QQQ,20,insurance,OPEN,put,1.0,177.0,2020-01-17,7,193.04,2.5653546101076827,2.5012207448549906,2.629488475360375,2.629488475360375,0.22416722073196269,-0.19926265783639496,-1840.6419327522624,-49.443705676884505,49.443705676884505,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2020-01-07,QQQ_v0_3_Full,QQQ,20,insurance,CLOSE,put,1.0,177.0,2020-01-17,7,215.53,2.6109144244267975e-08,0.0,0.010000026109144244,0.0,0.2174882266969795,-1.9498739079930725e-08,0.0,-4.550018276400971,4.550018276400971,INSURANCE_DTE_ROLL,,
2020-01-07,QQQ_v0_3_Full,QQQ,21,covered_call,OPEN,call,-1.0,225.0,2020-02-21,2,215.53,1.9286765030680684,1.8804595904913666,1.9768934156447702,1.8804595904913666,0.17265977407046026,0.2537013465879958,376.0919180982733,-10.94338251534036,10.94338251534036,GREED_EXHAUSTION_COVERED_CALL,,
2020-01-16,QQQ_v0_3_Full,QQQ,21,covered_call,CLOSE,call,-1.0,225.0,2020-02-21,2,222.28,3.1760677026844917,3.0966660101173793,3.255469395251604,3.255469395251604,0.15447024152912675,0.4169304905377484,-651.0938790503208,-17.180338513422477,17.180338513422477,CALL_STATE_EXIT,,
2020-01-24,QQQ_v0_3_Full,QQQ,22,covered_call,OPEN,call,-1.0,231.0,2020-02-21,2,222.7,1.5317331164412593,1.4934397885302277,1.5700264443522909,1.4934397885302277,0.17867960035922767,0.24132065127982327,298.68795770604555,-8.958665582206315,8.958665582206315,GREED_EXHAUSTION_COVERED_CALL,,
2020-01-27,QQQ_v0_3_Full,QQQ,22,covered_call,CLOSE,call,-1.0,231.0,2020-02-21,2,218.1,0.9702129513590094,0.9459576275750342,0.9944682751429846,0.9944682751429846,0.21079210453920222,0.1576251440431327,-198.89365502859692,-6.1510647567950425,6.1510647567950425,CALL_STATE_EXIT,,
2020-01-27,QQQ_v0_3_Full,QQQ,23,insurance,OPEN,put,1.0,202.0,2020-04-17,7,218.1,2.650885002216995,2.5846128771615704,2.71715712727242,2.71715712727242,0.21464260014077557,-0.20383268671637694,-1902.009989090694,-50.94048753879735,50.94048753879735,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2020-02-27,QQQ_v0_3_Full,QQQ,23,insurance,CLOSE,put,1.0,202.0,2020-04-17,2,205.64,8.589510279084948,8.374772522107824,8.804248036062072,8.374772522107824,0.3463517666044231,-0.4157926234172418,1674.9545044215647,-44.24755139542481,44.24755139542481,INSURANCE_PARTIAL_MONETIZATION,,
2020-03-12,QQQ_v0_3_Full,QQQ,23,insurance,CLOSE,put,1.0,202.0,2020-04-17,1,177.32,30.325348767907855,29.567215048710157,31.083482487105552,29.567215048710157,0.623629526996555,-0.7149649242179706,2956.721504871016,-76.46337191976978,76.46337191976978,INSURANCE_PARTIAL_MONETIZATION,,
2020-04-07,QQQ_v0_3_Full,QQQ,23,insurance,CLOSE,put,1.0,202.0,2020-04-17,4,196.4,14.08998710950408,13.737737431766478,14.442236787241681,13.737737431766478,0.8404344850634161,-0.553124653234948,5495.094972706591,-143.49987109504065,143.49987109504065,INSURANCE_DTE_ROLL,,
